cle,Name-Nom,Role-Rôle, Amount-Montant ,Fiscal_Year-Exercice_financier,Institution,Établissement,Province_ID,Province_EN,Province_FR,Competition_Year-Année_du_concours,Title-Titre,Keywords-Mots-clés,Program,Programme,Discipline_EN,Discipline_FR,Main_Discipline,Discipline_principale,Area_of_Research,Domaine_de_recherche
98876,"Kennedy, Gregory M.W.",Individual," $74,500 ",2019,Université de Moncton,Université de Moncton,NB,New Brunswick,Nouveau-Brunswick,2018,"Military Service, Citizenship and Political Culture: Militia Studies in Atlantic Canada, 1700-2000",Atlantic Canada; history; militias; Acadians; political culture; reform; identity; order; institutions; localities,Partnership Development Grants,Subventions de développement de partenariat,Military History,Histoire militaire,History,Histoire,Politics and government,Politique et gouvernement
98877,"Gaudreau, Nancy",Individual," $72,605 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,L'établissement du plan d'intervention et la mobilisation des acteurs pour soutenir la réussite des élèves présentant des difficultés de comportement,plan d'intervention; troubles du comportement; réussite éducative; mobilisation des acteurs; formation continue; inclusion scolaire,Partnership Development Grants,Subventions de développement de partenariat,Educational Psychology,Psychopédagogie,Education,Éducation,Education,Éducation
98878,"Bergeron, Manon",Individual," $70,383 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2018,"Violence sexuelle dans les milieux d'enseignement supérieur : enjeux actuels pour la prévention, la pratique et la recherche",violence sexuelle; harcèlement sexuel; consentement sexuel; institutions d'enseignement supérieur; trajectoires de dévoilement; traitement des plaintes; soutien aux victimes; prévention; approche féministe intersectionnelle,Partnership Development Grants,Subventions de développement de partenariat,Sexology,Sexologie,Psychology,Psychologie,Violence,Violence
98879,"Jessup, Lynda L.",Individual," $53,010 ",2019,Queen's University,Queen's University,ON,Ontario,Ontario,2018,The Cultural Relations Approach to Diplomacy,global cultural relations; cultural diplomacy; cultural policy,Partnership Development Grants,Subventions de développement de partenariat,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Arts and culture,Beaux-arts et culture
98880,"Gewurtz, Rebecca",Individual," $55,638 ",2019,McMaster University,McMaster University,ON,Ontario,Ontario,2018,Financial incentives to promote employment of people with disabilities: when and how do they work best?,financial incentives for employers; hiring people with disabilities; accommodating people with disabilities; employment support; diversity and inclusion,Partnership Development Grants,Subventions de développement de partenariat,Public Economics,Économie publique,Economics,Science économique,Employment and labour,Emploi et travail
98881,"Lahey, Kathleen A.",Individual," $88,565 ",2019,Queen's University,Queen's University,ON,Ontario,Ontario,2018,Taxing for Gender and Economic Equality in Ghana: Mobilizing Fiscal Policy Impact Analysis and Recommendations for Reform,taxation; gender equality; developing country; tax data; comparative law; international law; gender-based analysis; gender budgeting,Partnership Development Grants,Subventions de développement de partenariat,Law,Droit,Law,Droit,Law and Justice,Droit et justice
98882,"Crocker, Anne G.",Individual," $64,695 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2018,Pathways to violence and desistance,violence; criminality; pathways; services; risk factors; recidivism; desistance; radicalization; sexual violence; intimate partner violence; mental health; protective factors,Partnership Development Grants,Subventions de développement de partenariat,Criminology,Criminologie,Criminology,Criminologie,Violence,Violence
98883,"Salami, Oluwabukola O.",Individual," $51,063 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2018,African Child Migration in Circumstances of Vulnerability: Developing a Research Network,African; child; immigrant; migration,Partnership Development Grants,Subventions de développement de partenariat,"Migration, Mobility","Migration, mobilité",Demography,Démographie,Immigration,Immigration
98884,"Cockburn, Lynn B.",Individual," $61,200 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2018,PIRL Partnership for Inclusive Research: Learning to improve inclusion and access in disability inclusive development,inclusion; disability; global; research development; international research teams,Partnership Development Grants,Subventions de développement de partenariat,Sociology of Communication,Sociologie des communications,Communications and Media Studies,Communications et études des médias,Social development and welfare,Développement social et bien-être
98885,"Mfoafo-M'Carthy, Magnus",Individual," $53,171 ",2019,Wilfrid Laurier University,Wilfrid Laurier University,ON,Ontario,Ontario,2018,Fostering Equitable Education Systems for those with Disabilities: A Canada-Ghana Partnership for addressing Indicators of Inclusive Education and Building Training Networks,inclusive education; disability; Canada-Ghana partnership grant,Partnership Development Grants,Subventions de développement de partenariat,Social Work,Travail social,Social Work,Travail social,Education,Éducation
98886,"Janmaat, Johannus A.",Individual," $95,387 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2018,Facilitating Agricultural Adaptation to a Changing Climate in British Columbia,climate change adaptation; agriculture; policy; economics; rural sociology; planning,Partnership Development Grants,Subventions de développement de partenariat,Agricultural Economics,Économie agricole,Economics,Science économique,Agriculture,Agriculture
98887,"Scott, Steffanie D.",Individual," $90,230 ",2019,University of Waterloo,University of Waterloo,ON,Ontario,Ontario,2018,Using Agroecology to Advance Sustainable Development Goals in China: Pathways of Transition Towards a Sustainable Food System,agroecology; sustainable development; China; food systems; environment; sustainability transitions; partnership,Partnership Development Grants,Subventions de développement de partenariat,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales","Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Agriculture,Agriculture
98888,"Peters, Paul A.",Individual," $73,150 ",2019,Carleton University,Carleton University,ON,Ontario,Ontario,2018,Free Range International Knowledge Partnership,knowledge exchange; international collaboration; rural development,Partnership Development Grants,Subventions de développement de partenariat,Rural Geography,Géographie rurale,Geography,Géographie,Not Subject to Research Classification,Sans objet
98889,"Starr, Lisa J.",Individual," $62,726 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2018,NEXTSchools: The Implementation of Innovative learning for Quebec Secondary Schools,21st century learning; design thinking; student engagement,Partnership Development Grants,Subventions de développement de partenariat,Education,Éducation,Education,Éducation,Education,Éducation
98890,"Zamuner, Tania S.",Individual," $63,419 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2018,Enhancing the public's understanding of child development research: A museum-based approach,child development; knowledge mobilization; public education; museum setting; living lab model,Partnership Development Grants,Subventions de développement de partenariat,Other Psychology,Psychologie (autres),Psychology,Psychologie,Children,Enfance
98891,"Morin, Pascale",Individual," $73,081 ",2019,Université de Sherbrooke,Université de Sherbrooke,QC,Quebec,Québec,2018,Développement d'un partenariat intersectoriel et interdisciplinaire pour la mobilisation des connaissances au profit de la réussite éducative des jeunes,mobilisation de connaissances; décideurs; milieu scolaire; jeunes; politiques publiques; habitudes de vie; enjeux sociaux; direction scolaire; ministère; plateforme numérique;,Partnership Development Grants,Subventions de développement de partenariat,"Educational Administration, Planning and Governance","Administration, planification et direction scolaires",Education,Éducation,Education,Éducation
98892,"Brouwer, Roy R.",Individual," $69,781 ",2019,University of Waterloo,University of Waterloo,ON,Ontario,Ontario,2018,Payments for Wetland Ecosystem Services as a Nature-Based Solution to Sustainably Manage Urbanized Watersheds,payments for ecosystem services; economic policy instruments; wetlands; water quality control; flood risk management; urbanization; watersheds,Partnership Development Grants,Subventions de développement de partenariat,Economics,Science économique,Economics,Science économique,Environment and Sustainability,Environnement et développement durable
98893,"Greer, Kirsten",Individual," $78,560 ",2019,Nipissing University,Nipissing University,ON,Ontario,Ontario,2018,"Reassembling Ontario's ""Near North"": Reparation through university-museum-Indigenous research partnerships",repatriation; reparation; Indigenous knowledge; Anishinaabeg; Lake Nipissing; museum; archive; cultural heritage; historical geography; critical physical geography; sound; listening; histories of science; environmental studies; sovereignty,Partnership Development Grants,Subventions de développement de partenariat,Geography,Géographie,Geography,Géographie,Indigenous peoples,Populations autochtones
98894,"Connelly, Catherine E.",Individual," $65,440 ",2019,McMaster University,McMaster University,ON,Ontario,Ontario,2018,This will be great exposure for you: Precarious employment in the gig economy,precarious work; careers; professional musicians; unpaid contracts; worker attitudes and behaviors,Partnership Development Grants,Subventions de développement de partenariat,Organizational Behaviour,Comportement organisationnel,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Employment and labour,Emploi et travail
98895,"Hassini, Elkafi",Individual," $72,000 ",2019,McMaster University,McMaster University,ON,Ontario,Ontario,2018,"City logistics and e-commerce: impact on economy, infrastructure, and society",city logistics; e-commerce; transportation; local economy development; environment; society,Partnership Development Grants,Subventions de développement de partenariat,Regional Planning,Planification régionale,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Transportation,Transports
98896,"Dickenson, Victoria J.",Individual," $70,739 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2018,The Gwillim Project: Women and Networks of Knowledge and Exchange in the Company Raj,women's history; East India company; costume history; food history; ornithology; environment; landscape; genre scenes; watercolour; gender; botany; legal history; Hindu ritual; architecture; trade; Indian Ocean; correspondence network; material culture,Partnership Development Grants,Subventions de développement de partenariat,Cultural History,Histoire culturelle,History,Histoire,Globalization,Mondialisation
98897,"Graham, John R.",Individual," $72,044 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2018,Kelowna Homelessness Research Collaborative,homelessness; community-driven research; research integration; evidence-based programming; housing first; homelessness prevention and intervention initiatives,Partnership Development Grants,Subventions de développement de partenariat,"Social Policy, Planning and Social Prevention","Politique sociale, planification et prévention",Social Work,Travail social,Social development and welfare,Développement social et bien-être
98898,"Fleury, Marie-Josée",Individual," $99,775 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2018,Qualité de vie et intégration sociale des personnes en situation d'itinérance logées dans différents modèles de logements permanents avec soutien,logements; logements permanents avec soutien; itinérance; impact; profils de clientèles; intégration sociale; qualité de vie; variables associées; typologie de personnes en situation d'itinérance,Partnership Development Grants,Subventions de développement de partenariat,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Housing,Logement
98899,"Callaghan, Tara C.",Individual," $109,700 ",2019,St. Francis Xavier University,St. Francis Xavier University,NS,Nova Scotia,Nouvelle-Écosse,2018,Rohingya refugee children and youth: Development and facilitation of prosocial behavior in mega-camp contexts,prosocial development; refugee children; fostering development,Partnership Development Grants,Subventions de développement de partenariat,Child and Adolescent Psychology,Psychologie de l'enfance et de l'adolescence,Psychology,Psychologie,Children,Enfance
98900,"Bawa, Sylvia",Individual," $80,200 ",2019,York University,Université York,ON,Ontario,Ontario,2018,The Research/Dissemination Network on Canada's Human Rights Role in Sub-Saharan Africa (CARRISSA),human rights; Canadian contributions; sub-Saharan Africa,Partnership Development Grants,Subventions de développement de partenariat,Human Rights,Droits de la personne,Law,Droit,Law and Justice,Droit et justice
98901,"Mastrangelo, Sonia",Individual," $72,550 ",2019,Lakehead University,Lakehead University,ON,Ontario,Ontario,2018,Supporting the Development of Young Children's Self-Regulation Capacities and Literacy Skills in Ontario's Northern Communities: Engaging Families and Educators,self-regulation; Indigenous ways of learning/knowing; literacy development; children's voice;,Partnership Development Grants,Subventions de développement de partenariat,Education,Éducation,Education,Éducation,Education,Éducation
98902,"Fettes, Mark T.",Individual," $75,300 ",2019,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2018,Land-based learning for reconciliation on Gabriola Island,elementary education; community education; environmental education; Indigenous education; land-based learning; curriculum development,Partnership Development Grants,Subventions de développement de partenariat,"Adult, Continuing, Community Education","Andragogie, éducation permanente, éducation communautaire",Education,Éducation,Education,Éducation
98903,"Schallié, Charlotte",Individual," $65,811 ",2019,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,2018,Narrative Art and Visual Storytelling in Holocaust and Human Rights Education,narrative art; visual storytelling; Holocaust education; human rights education; arts-based research; philosophical inquiry,Partnership Development Grants,Subventions de développement de partenariat,Oral History,Histoire orale,History,Histoire,Education,Éducation
98904,"Doherty, Alison J.",Individual," $59,630 ",2019,Western University (The University of Western Ontario),Western University (The University of Western Ontario),ON,Ontario,Ontario,2018,An integrated model for effective youth sport concussion management,interdisciplinary; sport related concussion; youth; socioecological,Partnership Development Grants,Subventions de développement de partenariat,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Youth,Jeunesse
98905,"Yu, Henry S.N.",Individual," $94,806 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2018,Activating a Multi-sited Museum: an Innovative Organizational Model for Heritage and Community Knowledge-Making,Chinatown; heritage; Chinese Canadian; virtual reality; augmented reality; museum; Vancouver; British Columbia; Trans-Pacific; Pacific,Partnership Development Grants,Subventions de développement de partenariat,Other History,Histoire (autres),History,Histoire,Immigration,Immigration
98906,"Mountz, Alison",Individual," $48,899 ",2019,Wilfrid Laurier University,Wilfrid Laurier University,ON,Ontario,Ontario,2018,Negotiating asylum and protection along the Canada-US border: forging collaboration through research,borders; migration; displacement; political asylum; refugee claims; refugee law; border enforcement; geopolitics; Canada-Us relations,Partnership Development Grants,Subventions de développement de partenariat,Political Geography,Géographie politique,Geography,Géographie,Immigration,Immigration
98907,"Schnellert, Leyton M.",Individual," $84,146 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2018,Growing Innovation in Rural Sites of Learning,professional development; collaborative inquiry; rural education; educational change; professional learning networks,Partnership Development Grants,Subventions de développement de partenariat,Curriculum,Programme d'études,Education,Éducation,Education,Éducation
98908,"Yellowhorn, Eldon C.",Individual," $61,882 ",2019,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2018,"The Brandon Residential School Project: Finding Indigenous children to foster restorative justice, repatriation, and reconciliation through forensic anthropology",Indian residential schools; missing Indigenous children; unmarked graves; history; interviews; forensic and physical anthropology; archaeology; DNA and isotope analysis; restorative justice; repatriation; reconciliation,Partnership Development Grants,Subventions de développement de partenariat,Anthropology,Anthropologie,Anthropology,Anthropologie,Children,Enfance
98909,"Latimer, Amy E.",Individual," $81,505 ",2019,Queen's University,Queen's University,ON,Ontario,Ontario,2018,"An evidence-informed, partnered approach to building accessible, inclusive quality sport programming for Canadians with a disability",sport; disability; inclusion; accessibility; quality participation; knowledge mobilization science; partnership; knowledge adaptation; inclusion; accessibility; quality participation,Partnership Development Grants,Subventions de développement de partenariat,Physical Education,Éducation physique,Education,Éducation,"Leisure, recreation and tourism",Loisirs et tourisme
98910,"Mekki-Berrada, Abdelwahed",Individual," $80,746 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,Islamophobie savante et médiatique : Étude transnationale des discours et de leur impact,islamophobie; Islam; racialisation; stigmatisation; subjectivation; discours savant; médias,Partnership Development Grants,Subventions de développement de partenariat,Other Anthropology,Anthropologie (autres),Anthropology,Anthropologie,Social development and welfare,Développement social et bien-être
98911,"Papazian-Zohrabian, Garine",Individual," $59,098 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2018,Étude du parcours post-migratoire des élèves réfugiés et demandeurs d'asile arrivés au Québec en 2016 et 2017: éléments éducatifs et systémiques favorisant ou défavorisant leur expérience socio-scolaire,jeunes réfugiés; demandeurs d'asile; parcours scolaire; expérience socio-scolaire; parcours post-migratoire; approche systémique,Partnership Development Grants,Subventions de développement de partenariat,Educational Psychology,Psychopédagogie,Education,Éducation,Education,Éducation
98912,"Siemens, Raymond G.",Individual," $79,177 ",2019,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,2018,Canadian-Australian Partnership for Open Scholarship,open scholarship; scholary communication; digital scholarship; digital humanities; HQP training; community building,Partnership Development Grants,Subventions de développement de partenariat,Other Communication and Media Studies,Communications et études des médias (autres),Communications and Media Studies,Communications et études des médias,Communication,Communications
98913,"Mulvale, Gillian M.",Individual," $100,530 ",2019,McMaster University,McMaster University,ON,Ontario,Ontario,2018,Co-producing public services for vulnerable populations: an international partnership to advance fidelity of implementation and dissemination in Canada,co-production; public services; vulnerable and marginalized populations; user engagement; implementation; diffusion of innovation; policymaking; quality improvement,Partnership Development Grants,Subventions de développement de partenariat,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce","Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
98914,"Sundstrom, Lisa McIntosh",Individual," $49,165 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2018,Activism in International Human Rights Courts (ActInCourts),international human rights courts: legal mobilization; NGO; transnational activism; strategic litigation; European Court of Human Rights; Inter-American Court of Human Rights,Partnership Development Grants,Subventions de développement de partenariat,Human Rights,Droits de la personne,Law,Droit,"International Relations, Development and Commerce","Relations internationales, commerce et développement"
98915,"Grignon, Julia",Individual," $73,898 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,Promotion et renforcement du droit international humanitaire : une contribution canadienne,droit international humanitaire; conflits armés; protection de la personne; développement; renforcement; diffusion et respect du droit humanitaire,Partnership Development Grants,Subventions de développement de partenariat,Other Law,Droit (autres),Law,Droit,Law and Justice,Droit et justice
98916,"Vibert, Elizabeth",Individual," $105,835 ",2019,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,2018,Four Stories About Food Sovereignty: Transnational Crises and Local Action,food security; food sovereignty; colonialism; sustainability; climate change; community-engaged research; Indigenous peoples; refugees; sustainable development; alternative economies; gender and development; precarity; social movements,Partnership Development Grants,Subventions de développement de partenariat,Community Development,Développement communautaire,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Environment and Sustainability,Environnement et développement durable
98917,"Harel, Simon",Individual," $58,926 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2018,"Montréal, territoire et terrain : interdisciplinarité, recherche-création et récits du soi en contexte pédagogique",récit; mobilité; recherche-création; multidisciplinarité; littératie numérique multimodale; enseignement; design urbain; savoirs autochtones; milieux multiculturels; empowerment,Partnership Development Grants,Subventions de développement de partenariat,"Literature, Comparative",Littérature comparée,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
98918,"Gainforth, Heather L.",Individual," $58,355 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2018,Co-Developing and Co-Implementing the First Integrated Knowledge Translation Guiding Principles for the Spinal Cord Injury Research System,knowledge mobilization; integrated knowledge translation; co-production; spinal cord injury,Partnership Development Grants,Subventions de développement de partenariat,Other Education,Éducation (autres),Education,Éducation,Post-Secondary Education and Research,Éducation et recherche postsecondaires
67407,"Prest, Anita L.",Individual," $127,684 ",2019,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,2019,From policy to practice in decolonizing and Indigenizing music education: Ensuring teacher understanding of Indigenous worldviews,music education; Indigenous education; policy; decolonizing; Indigenizing; Indigenous research methods; British Columbia; education,Partnership Development Grants,Subventions de développement de partenariat,Arts Education,Enseignement des arts,Education,Éducation,Education,Éducation
67408,"Gill, Carmen",Individual," $65,480 ",2019,University of New Brunswick,University of New Brunswick,NB,New Brunswick,Nouveau-Brunswick,2019,"Coercive control, risk assessment and evidence of intimate partner violence (IPV): Police response",police response; coercive control; intimate partner violence; criminal justice,Partnership Development Grants,Subventions de développement de partenariat,Police,Police,Criminology,Criminologie,Violence,Violence
67409,"Nagam, Julie M.",Individual," $95,000 ",2019,The University of Winnipeg,The University of Winnipeg,MB,Manitoba,Manitoba,2019,"The Space between us: col(lab)orations within Indigenous, Circumpolar and Pacific places through digital media",Indigenous digital and new media; collaboration; public space; visual art; methodologies; curatorial practices,Partnership Development Grants,Subventions de développement de partenariat,Media Arts,Arts médiatiques,Fine Arts,Beaux-arts,Indigenous peoples,Populations autochtones
67410,"Michaud, Jean",Individual," $54,264 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2019,Frontier Livelihoods Under Socialism: Supporting Ethnic Minority Strategies in Asia's Borderlands,livelihoods; ethnic minorities; borderlands; modernity; strategies; market integration; agrarian change; land use change; extreme weather events; Vietnam; China; Southeast Asian Massif,Partnership Development Grants,Subventions de développement de partenariat,Social Anthropology,Anthropologie sociale,Anthropology,Anthropologie,Multiculturalism and ethnic studies,Multiculturalisme et études ethniques
67411,"Smart, Michael",Individual," $55,141 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,Finances of the Nation: Improving public finance data and policy analysis in Canada,tax policy; Canada; public finance; digitization; economic analysis; public access data,Partnership Development Grants,Subventions de développement de partenariat,Public Economics,Économie publique,Economics,Science économique,Economic and Regional Development,Développement économique et régional
67412,"Barin Cruz, Luciano",Individual," $44,460 ",2019,HEC Montréal,HEC Montréal,QC,Quebec,Québec,2019,Scaling Entrepreneurship for Economic Development (SEED): Supporting International and Local Promoters of Entrepreneurship Programs,innovative entrepreneurship; cross-sector partnership; entrepreneurial growth; developing countries; institutional conditions,Partnership Development Grants,Subventions de développement de partenariat,Management,Gestion,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
67413,"White, Katherine J.",Individual," $61,700 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2019,Sustainable Behavioural Insights: Developing a Framework for Nudging Long-Term Behaviour Change,behavioural insights; decision science; behaviour change; sustainability,Partnership Development Grants,Subventions de développement de partenariat,Other Psychology,Psychologie (autres),Psychology,Psychologie,Environment and Sustainability,Environnement et développement durable
67414,"Guay, Jean-Pierre",Individual," $83,305 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,La formation des professionnels de la Justice à l'aide d'agents virtuels autonomes (AVA),formation; pratiques basées sur les données probantes; justice; intelligence artificielle; réalité virtuelle,Partnership Development Grants,Subventions de développement de partenariat,Delinquency,Délinquance,Criminology,Criminologie,Law and Justice,Droit et justice
67415,"Percival, Valerie A.",Individual," $61,908 ",2019,Carleton University,Carleton University,ON,Ontario,Ontario,2019,GenLab - Gender Collaboration and Innovation Lab,gender norms; social policy; health policy; participatory approaches; community development,Partnership Development Grants,Subventions de développement de partenariat,Health Policy and Evaluation,Politique de la santé et évaluation,Political Science,Sciences politiques,Gender Issues,Questions touchant le genre
67416,"Tam, Dora M. Y.",Individual," $57,150 ",2019,University of Calgary,University of Calgary,AB,Alberta,Alberta,2019,Promising Practices for Children and Youth: A Model of Canada-China Collaboration,children and youth mental health; Canada-China collaboration,Partnership Development Grants,Subventions de développement de partenariat,"Children, Family","Enfants, famille",Social Work,Travail social,Children,Enfance
67417,"Walters, David M.",Individual," $52,900 ",2019,University of Guelph,University of Guelph,ON,Ontario,Ontario,2019,"Connecting partners: Promoting access across education, skills, and employment pathways",postsecondary; school-to-work transitions; disadvantaged groups,Partnership Development Grants,Subventions de développement de partenariat,Sociology,Sociologie,Sociology,Sociologie,Education,Éducation
67418,"Des Rivières-Pigeon, Catherine",Individual," $47,965 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2019,Travailler ensemble pour favoriser l'inclusion sociale des adolescent-e-s et jeunes adultes autistes,autisme; inclusion sociale; emploi; éducation; familles; adolescents; jeunes adultes,Partnership Development Grants,Subventions de développement de partenariat,"Children, Family","Enfants, famille",Social Work,Travail social,Employment and labour,Emploi et travail
67419,"Joyal, Christian C.",Individual," $79,487 ",2019,Université du Québec à Trois-Rivières,Université du Québec à Trois-Rivières,QC,Quebec,Québec,2019,"Fonction, signification et utilité clinique du fantasme sexuel : Une étude comparative d'auteurs d'infractions sexuelles, d'auteurs d'infractions non sexuelles et d'hommes de la population générale",fantasmes sexuels; agressions sexuelles; auteurs d'infractions sexuelles; évaluation; traitement; prédiction; mentalisation; fonctions cognitives; signification; population générale.,Partnership Development Grants,Subventions de développement de partenariat,Psychology,Psychologie,Psychology,Psychologie,Mental Health,Santé mentale
67420,"Wittman, Hannah K.",Individual," $95,200 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2019,Navigating agroecological transitions in Latin America,agroecology; food security; citizen science; sustainability; food systems; diversity; farmer-to-farmer networks; agrarian transition,Partnership Development Grants,Subventions de développement de partenariat,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales","Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Agriculture,Agriculture
67421,"Zyla, Benjamin",Individual," $64,889 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2019,Peacebuilding and Local Knowledge Network (PLKN),local knowledge; peacebuilding; intervention; peacebuiling training,Partnership Development Grants,Subventions de développement de partenariat,International Relations,Relations internationales,Political Science,Sciences politiques,"International Relations, Development and Commerce","Relations internationales, commerce et développement"
67422,"Jenkinson, Jodie A.",Individual," $34,313 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,Visualization in Biology Learning and Instruction,science visualization; biology instruction; educational psychology; collaboration,Partnership Development Grants,Subventions de développement de partenariat,Other Education,Éducation (autres),Education,Éducation,Post-Secondary Education and Research,Éducation et recherche postsecondaires
67423,"Poirel, Emmanuel",Individual," $60,762 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,Évolution de l'organisation du travail des directions d'établissements d'enseignement du Québec dans le contexte de la transformation des commissions scolaires en centres de services,direction scolaire; organisation du travail; leadership; qualité de vie; développement professionnel,Partnership Development Grants,Subventions de développement de partenariat,"Educational Administration, Planning and Governance","Administration, planification et direction scolaires",Education,Éducation,Education,Éducation
67424,"Woody, Sheila R.",Individual," $56,938 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2019,Assessment as a roadmap: Community responses to hoarding,hoarding; multidisciplinary; community; assessment,Partnership Development Grants,Subventions de développement de partenariat,Psychology,Psychologie,Psychology,Psychologie,Housing,Logement
67425,"Saunders, Richard G.",Individual," $35,078 ",2019,York University,Université York,ON,Ontario,Ontario,2019,Resource Nationalism in Southern Africa: policy challenges and emerging opportunities,resource nationalism; extractive industries; Southern Africa; business-society relations; political economy of mining; fiscal linkages; artisanal and small-scale mining; productive linkages,Partnership Development Grants,Subventions de développement de partenariat,Political Economy,Économie politique,Political Science,Sciences politiques,Politics and government,Politique et gouvernement
67426,"Duchesneau, Michel",Individual," $56,352 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,"Étude partenariale sur la médiation de la musique: institutionnalisation, professionnalisation, intervention",médiation de la musique; musicologie; sociomusicologie; pédagogie musicale; politiques culturelles,Partnership Development Grants,Subventions de développement de partenariat,"Music, Musicology","Musique, Musicologie",Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
67427,"Miller, Byron A.",Individual," $102,812 ",2019,University of Calgary,University of Calgary,AB,Alberta,Alberta,2019,Smart Cities in Global Comparative Perspective: Worlding and Provincializing Relationships,smart cities; global comparative analysis; governance; policy mobility; sustainability; risk and resilience,Partnership Development Grants,Subventions de développement de partenariat,Urban Geography,Géographie urbaine,Geography,Géographie,Politics and government,Politique et gouvernement
67428,"Garcia Sinner, Alejandro",Individual," $59,967 ",2019,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,2019,"Mediterranean Connectivity: Economy, Trade and Commercial Circuits in the Roman West (2nd c. BCE -- 1st c. CE)",digital archive; roman provinces; trade; commercial circuits; economy; pottery study; lead isotopes; archaeometry,Partnership Development Grants,Subventions de développement de partenariat,Economic History,Histoire économique,History,Histoire,Economic and Regional Development,Développement économique et régional
67429,"Emon, Anver M.",Individual," $54,060 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,Muslims in Canada Archive (MiCA),Islam; Muslims; Canada; knowledge production; history; archives; heritage,Partnership Development Grants,Subventions de développement de partenariat,Other History,Histoire (autres),History,Histoire,Multiculturalism and ethnic studies,Multiculturalisme et études ethniques
67430,"Magnusson, Kris C.",Individual," $72,304 ",2019,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2019,Connecting Career Development and Mental Health in Schools,career development; mental health; youth in schools; evidence-based practice,Partnership Development Grants,Subventions de développement de partenariat,Counselling & Career Guidance,Conseils et orientation professionnelle,Education,Éducation,Education,Éducation
