cle,Name-Nom,Role-Rôle, Amount-Montant ,Fiscal_Year-Exercice_financier,Institution,Établissement,Province_ID,Province_EN,Province_FR,Competition_Year-Année_du_concours,Title-Titre,Keywords-Mots-clés,Program,Programme,Discipline_EN,Discipline_FR,Main_Discipline,Discipline_principale,Area_of_Research,Domaine_de_recherche
95582,"Evans, Joshua D.",Applicant," $1,926 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2019,Putting data-driven urbanism in its place,smart cities; urban science; evidence-based policy; urban policy; urban data,Insight Grants,Subventions Savoir,Urban Geography,Géographie urbaine,Geography,Géographie,Politics and government,Politique et gouvernement
95584,"Whitman, Shelly L.",Applicant," $14,008 ",2019,Dalhousie University,Dalhousie University,NS,Nova Scotia,Nouvelle-Écosse,2019,"Unpacking the encounter: Understanding the social construction and interaction of gender, children, and soldiers in conflict zones",child soldiers; peacekeeping; gender; moral injury,Insight Grants,Subventions Savoir,Women's Studies,Études sur les femmes,Interdisciplinary Studies,Études pluridisciplinaires,Gender Issues,Questions touchant le genre
95586,"Laidlaw, Linda",Applicant," $12,007 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2019,Making literacy through maker literacies: Building learning opportunities in early childhood,literacy; technology; maker spaces; multimodality; early years education,Insight Grants,Subventions Savoir,Reading and Writing,Lecture et écriture,Education,Éducation,Education,Éducation
95588,"Chakraborty, Chandrima",Applicant," $8,363 ",2019,McMaster University,McMaster University,ON,Ontario,Ontario,2019,"History, memory, grief: The Air India project",Air India flight 182 bombing and its aftermath; Canada; history and memory; Indo-Canadian grief; trauma; oral history; memorialization; digital archive; community engagement; public outreach,Insight Grants,Subventions Savoir,"Literature, English Canadian",Littérature canadienne-anglaise,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
95589,"Kent, Eddy J.",Applicant," $5,347 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2019,Representing resource extraction in 19th-century British culture,Victorian literature; empire; natural resources; extraction; environmental humanities; energy humanities,Insight Grants,Subventions Savoir,"Literature, English",Littérature anglaise,"Literature, Modern Languages and",Littératures et langues modernes,Energy and natural resources,Énergie et ressources naturelles
95594,"Bukowski, William M.",Applicant," $15,561 ",2019,Concordia University,Université Concordia,QC,Quebec,Québec,2019,Using the features and dynamics of the peer system to explain the effects of socioeconomic inequality,socioeconomic inequality; peer relations; well-being; network analysis; friendship; longitudinal methods,Insight Grants,Subventions Savoir,Child and Adolescent Psychology,Psychologie de l'enfance et de l'adolescence,Psychology,Psychologie,Children,Enfance
95595,"Simutin, Mikhail",Applicant," $7,021 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,The Origins and Real Effects of the Gender Pay Gap and Economic Inequality,gender pay gap; economic inequality; access to credit; formative years; compensation; discrimination; corporate policy,Insight Grants,Subventions Savoir,"Finance, Banking, Insurance","Finances, assurances, systèmes bancaires","Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Financial and Monetary Systems,Systèmes financiers et monétaires
95598,"Gore, Christopher D.",Applicant," $24,950 ",2019,Ryerson University,Ryerson University,ON,Ontario,Ontario,2019,Political participation and electricity in Sub-Saharan Africa,political participation; electricity; africa; kenya,Insight Grants,Subventions Savoir,Political Science,Sciences politiques,Political Science,Sciences politiques,Energy and natural resources,Énergie et ressources naturelles
95599,"Mavrikakis, Catherine",Applicant," $7,029 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,Réaménagement littéraire de la route Transcanadienne (St-Jean-Victoria),récit de voyage; création; espace numérique; cartographie; espace; imaginaire spatial,Insight Grants,Subventions Savoir,"Literature, General",Littérature générale,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
95600,"Battiloro, Ilaria",Applicant," $16,700 ",2019,Mount Allison University,Mount Allison University,NB,New Brunswick,Nouveau-Brunswick,2019,Uncovering Pre-Roman Pompeii: New Investigations at the Sanctuary of Venus,Pompeii pre-Roman phases; sanctuaries and ritual systems; impact of Roman conquest on the Indigenous communities of the Italian peninsula,Insight Grants,Subventions Savoir,Roman Classical Archaeology,Archéologie classique romaine,"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,Arts and culture,Beaux-arts et culture
95602,"Brauner-Otto, Sarah R.",Applicant," $20,600 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,Women's Work and Child Wellbeing Across the Lifecourse: Evidence from Nepal,demography; women's employment; child wellbeing; developing economies,Insight Grants,Subventions Savoir,Demography,Démographie,Demography,Démographie,Family,Famille
95603,"Hayden, Brian",Applicant," $22,599 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2019,The role of ecology and economy in the emergence of complexity on the Canadian Plateau,archaeology; plateau; hunter/gatherers; complex cultures; political ecology; cultural evolution,Insight Grants,Subventions Savoir,Archaeology - General: Theory and Method,Archéologie générale : théories et méthodes,Archaeology,Archéologie,Indigenous peoples,Populations autochtones
95605,"Marion, Mathieu",Applicant," $5,000 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2019,"Studies in Ancient Dialectic: Method, Arguments and Strategies",ancient philosophy; dialectic; pre-socratic philosophy; plato; aristotle; scepticism,Insight Grants,Subventions Savoir,Philosophy,Philosophie,Philosophy,Philosophie,Arts and culture,Beaux-arts et culture
95606,"Cameron, Ann-Frances",Applicant," $5,896 ",2019,HEC Montréal,HEC Montréal,QC,Quebec,Québec,2019,Multicommunicating during team meetings and its effect on team functioning,communication technology; meetings; teams; multicommunicating; multitasking; experiments; multilevel,Insight Grants,Subventions Savoir,Management Information Systems,Systèmes d'information de gestion,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Information Technologies,Technologies de l'information
95608,"Geist, Michael A.",Applicant," $10,013 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2019,internet platforms and the law: toward a Canadian model for online liability and responsibility,internet liability; internet platforms; free speech; copyright; social media; e-commerce; internet service providers; defamation; internet law; safe harbours,Insight Grants,Subventions Savoir,Industrial and Intellectual Property,Propriété industrielle et intellectuelle,Law,Droit,Law and Justice,Droit et justice
95611,"Erfani, Amir",Applicant," $3,146 ",2019,Nipissing University,Nipissing University,ON,Ontario,Ontario,2019,Transformed intimate relationships and low fertility: Examining the fertility influence of spousal intimate relationships,fertility; intimate relationship; family formation,Insight Grants,Subventions Savoir,Fertility,Fertilité,Demography,Démographie,Population studies,Études de la population
