Unique_ID,FiscalYear,Institution,AmountPaid,Program_Name,Program_Type,Title,Main_Discipline,Area_of_Research
751627.0,2019,University of British Columbia,15000.0,CIHR New Investigator,Award Program,"New neurons, stress and memory: behavioural functions and cellular mechanisms.",Biomedical,"Neurosciences-cognition, communication and behaviour (including sleep and memory)"
937700.0,2019,University of Calgary,55000.0,CIHR New Investigator,Award Program,Mobilizing Knowledge Across the Continuum of Care for Acute Kidney Injury,Health systems/services,"Medical research, hospital treatment, surgery"
157999.0,2019,Toronto General Research Institute,15000.0,CIHR New Investigator,Award Program,Cellular and molecular mechanisms regulating inflammatory responses in atherosclerosis,Biomedical,Cardiovascular
425484.0,2019,University of Manitoba,20000.0,CIHR New Investigator,Award Program,Understanding and Responding to HIV Vulnerability Among Disadvantaged Populations in Canada and Globally: A Program Science Research Agenda,Social/Cultural/Environmental/Population Health,Epidemiology
824903.0,2019,Hotchkiss Brain Institute,15000.0,CIHR New Investigator,Award Program,Mechanisms of opioid analgesia in the central nervous system,Biomedical,Nervous system
98329.0,2019,University of Western Ontario,55000.0,CIHR New Investigator,Award Program,Investigating the effects of sound on movement,Biomedical,Multidisciplinary
793731.0,2019,University of British Columbia,55000.0,CIHR New Investigator,Award Program,Harnessing Natural Product Biosynthetic Machinery,Biomedical,Biomedical engineering and medicines
508731.0,2019,Sunnybrook Health Sciences Centre,60000.0,CIHR New Investigator,Award Program,The Chronic Obstructive Pulmonary Disease (COPD) Health Outcomes Team (COHORT),Health systems/services,"Cardiovascular, respiratory and circulatory systems-cardiovascular and circulatory sciences"
499195.0,2019,"St. Paul's Hospital, Vancouver",30000.0,CIHR New Investigator,Award Program,Molecular determinants of small airway obstruction in COPD,Biomedical,"Cardiovascular, respiratory and circulatory systems-cardiovascular and circulatory sciences"
891746.0,2019,Sunnybrook Health Sciences Centre,15000.0,CIHR New Investigator,Award Program,Identifying Genetic Determinants of Human Sleep and Circadian Rhythms,Biomedical,"Neurosciences-cognition, communication and behaviour (including sleep and memory)"
2552.0,2019,Queen's University,60000.0,CIHR New Investigator,Award Program,Sexual desire emerges from arousal: Testing a model of responsive desire in women with and without sexual difficulties.,Clinical,Psychosocial/health behavioural res.
48853.0,2019,Centre for Addiction and Mental Health,55000.0,CIHR New Investigator,Award Program,The interplay between work and health in HIV: A program of research to promote health and social well-being,Social/Cultural/Environmental/Population Health,Health services research
708339.0,2019,University of Western Ontario,15000.0,CIHR New Investigator,Award Program,"Mouse Models to study Intervertebral Disc Development, Health and Disease",Biomedical,Genetics
307660.0,2019,Bruyere Health Research Institute,15000.0,CIHR New Investigator,Award Program,Optimizing the performance of our Primary Health Care System,Health systems/services,Health services research
60376.0,2019,University of Regina,45000.0,CIHR New Investigator,Award Program,Identifying and modifying transdiagnostic risk and resiliency variables for anxiety and pain,Clinical,Psychosocial/health behavioural res.
325149.0,2019,St. Michael's Hospital,60000.0,CIHR New Investigator,Award Program,Knowledge translation in genomics: Assessing the integration of genomic technologies in health care,Health systems/services,Other medical research
353487.0,2019,Ontario Cancer Institute,25000.0,CIHR New Investigator,Award Program,"Targeting colorectal cancer-initiating cells and anti-EGFR therapeutic resistance by manipulating levels of the reactive aldehyde, 4-hydroxynonenal.",Biomedical,Cancer-cancer drug development and therapeutics
442596.0,2019,York University,15000.0,CIHR New Investigator,Award Program,Interactive Technologies for Mental Health in Primary care,Health systems/services,Mental health
861396.0,2019,McMaster University,30000.0,CIHR New Investigator,Award Program,Improving patient important outcomes for hemodialysis patients using pharmacological and dialysis-based strategies,Clinical,Health services research
119320.0,2019,University of Manitoba,45000.0,CIHR New Investigator,Award Program,"Bleeding, transfusion, and the use of anticoagulants in patients with critical illness: Generating evidence to inform practice change and improve outcomes",Clinical,"Medical research, hospital treatment, surgery"
759677.0,2019,University of British Columbia,25000.0,CIHR New Investigator,Award Program,Clinical and cost-effectiveness of patient decision aids to reduce treatment non adherence,Health systems/services,Health services research
984236.0,2019,University of British Columbia,55000.0,CIHR New Investigator,Award Program,Microfluidic Technologies for Cell Separation and Cell Biomechanics,Biomedical,Cell biology
491225.0,2019,Simon Fraser University,17500.0,CIHR New Investigator,Award Program,Responding to the health crisis among street-involved youth in Canada: evidence to inform interventions and policy responses,Social/Cultural/Environmental/Population Health,Health services research
138325.0,2019,McGill University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Canada Research Chair in Genetics of the Nervous System,Biomedical,Nervous system
419883.0,2019,McMaster University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Canada Research Chair in Translational Cancer Immunology,Biomedical,Cancer
217205.0,2019,McMaster University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Microbial Chemical Biology,Biomedical,Molecular biology
183719.0,2019,Queen's University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Mitochondrial Dynamics and Translational Medicine,Biomedical,Other medical research
220514.0,2019,Simon Fraser University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Canada Research Chair in Chemical Glycobiology,Biomedical,Molecular biology
600378.0,2019,University of Western Ontario,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,CRC in Musculoskeletal Research,Biomedical,"Muscle, bone, or joint"
791782.0,2019,Université de Montréal,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,"Cell Signaling, Learning and Memory",Biomedical,"Molecular, cellular and systems biology-cell signaling"
723644.0,2019,Université Laval,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Canada Research Chair in Pharmacogenomics,Biomedical,Molecular biology
426112.0,2019,University of Alberta,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Intracerebral Hemorrhagic Stroke,Clinical,Neurosciences-neurological disorders
75098.0,2019,University of Alberta,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Structural Molecular Biology,Biomedical,Molecular biology
256252.0,2019,University of Alberta,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Transplantation Surgery and Regenerative Medicine,Biomedical,Immunology-transplantation
987398.0,2019,Toronto Metropolitan University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Patient-Centered Health Interventions: Design and Evaluation,Health systems/services,Health services research
103883.0,2019,University of British Columbia,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Preventive Medicine and Population Health,Social/Cultural/Environmental/Population Health,Population and health-health promotion and disease prevention
