Unique_ID,CompetitionFY,Institution,Total_Amount,Program_Name,Program_Type,Title,Main_Discipline,Area_of_Research
DGECR-2019-00068,2019,McGill University,2575.0,,Discovery Research,Robust online optimization for large-scale constrained engineering systems,Energy resources,Electrical and electronic engineering
546349-2019,2019,Cégep de Rimouski,2600.0,,Research Partnerships,Évènement : réduction de l'empreinte environnementale des navires,Northern development,Design and manufacturing
538416-2019,2019,Cégep de la Gaspésie et des Îles,2606.0,,Research Partnerships,Étude de faisabilité de la transformation du homard pour l'entreprise Poissons Frais des Îles,Agriculture and primary food production,Food science and technology
RGPIN-2019-05115,2019,Simon Fraser University,2657.0,,Discovery Research,Uncertainty in Statistical Computing,Information and communication services,Statistics and probability
549487-2019,2019,Cégep de Sorel-Tracy,2760.0,,Research Partnerships,Visite exploratoire chez Fruits de mer Madeleine et LRDI,Environment,Biomedical engineering
539309-2019,2019,Carleton University,2812.0,,Research Training and Talent Development,Discrete-Event controllers for building automation,Energy resources,Information technology
546305-2019,2019,Collège Boréal,2900.0,,Research Partnerships,Autonomous Technologies in Greater Sudbury/Technologies autonomes dans le Grand Sudbury,Energy resources,Robotics
542943-2019,2019,Université de Montréal,2916.0,,Research Training and Talent Development,Use of New Deep Learning Architectures in The Activity Prediction of Therapeutic Molecules,Manufacturing processes and products,Artificial intelligence
538893-2019,2019,Cégep de la Gaspésie et des Îles,2944.0,,Research Partnerships,Rencontres pour développer des collaborations portant sur la valorisation des produits marins.,Agriculture and primary food production,Environmental engineering
543526-2019,2019,University of Alberta,3000.0,,Research Partnerships,Development of Design Guidelines for Steel Cantilever Beams in Canada,"Construction, urban and rural planning",Civil engineering
538812-2019,2019,Cégep Edouard-Montpetit,3000.0,,Research Partnerships,"Événement """"La robotique au service de l'Aérospatiale""""",Transportation systems and services,Social sciences and humanities
